Date,Time,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Activity
04-09-2024,19:20:23,$,$,400,156,50,71,76,34.5,18.2,50.72,No Cooking
04-09-2024,19:20:28,$,$,400,153,51,72,77,34.5,18.2,52.5,No Cooking
04-09-2024,19:20:34,$,$,400,159,51,73,78,34.6,18.2,55.86,No Cooking
04-09-2024,19:20:39,$,$,400,157,50,72,77,34.6,18.2,56.87,No Cooking
04-09-2024,19:20:45,$,$,400,148,50,71,76,34.5,18.2,56.13,No Cooking
04-09-2024,19:20:51,$,$,400,149,50,72,76,34.5,18.2,50.09,No Cooking
04-09-2024,19:20:56,$,$,400,143,51,72,76,34.6,18.3,54.78,No Cooking
04-09-2024,19:21:02,$,$,400,143,51,72,76,34.6,18.3,53.62,No Cooking
04-09-2024,19:21:07,$,$,400,144,51,72,76,34.7,18.3,50.48,No Cooking
04-09-2024,19:21:13,$,$,400,143,52,72,77,34.6,18.3,56.33,No Cooking
04-09-2024,19:21:18,$,$,400,143,52,73,77,34.6,18.3,53.27,No Cooking
04-09-2024,19:21:24,$,$,400,142,52,73,78,34.6,18.3,54.45,No Cooking
04-09-2024,19:21:30,$,$,400,134,53,74,79,34.7,18.3,50.3,No Cooking
04-09-2024,19:21:35,$,$,400,141,52,73,78,34.7,18.3,56.09,No Cooking
04-09-2024,19:21:41,$,$,400,135,52,73,78,34.6,18.3,53.26,No Cooking
04-09-2024,19:21:46,$,$,400,138,51,73,78,34.7,18.3,56.4,No Cooking
04-09-2024,19:21:52,$,$,400,130,51,73,79,34.7,18.3,55.28,No Cooking
04-09-2024,19:21:57,$,$,400,134,51,73,79,34.6,18.3,52.78,No Cooking
04-09-2024,19:22:03,$,$,400,134,51,74,80,34.7,18.3,50.53,No Cooking
04-09-2024,19:22:09,$,$,400,141,51,74,80,34.6,18.3,54.75,No Cooking
04-09-2024,19:22:14,$,$,400,131,52,74,80,34.6,18.3,55.31,No Cooking
04-09-2024,19:22:20,$,$,400,135,53,74,81,34.7,18.3,52.51,No Cooking
04-09-2024,19:22:25,$,$,400,129,53,74,81,34.7,18.3,56.29,No Cooking
04-09-2024,19:22:31,$,$,400,131,53,74,82,34.6,18.3,53.57,No Cooking
04-09-2024,19:22:37,$,$,400,128,54,75,82,34.7,18.3,55.41,No Cooking
04-09-2024,19:22:42,$,$,400,133,54,75,82,34.7,18.3,50.42,No Cooking
04-09-2024,19:22:48,$,$,400,129,54,76,83,34.7,18.3,56.46,No Cooking
04-09-2024,19:22:53,$,$,400,124,54,76,83,34.7,18.3,52.19,No Cooking
04-09-2024,19:22:59,$,$,400,137,55,77,83,34.6,18.3,54.21,No Cooking
