CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB) [Mobile],Activity
400,142,52,73,78,34.6,18.3,54.45,No Cooking
400,134,53,74,79,34.7,18.3,50.3,No Cooking
400,141,52,73,78,34.7,18.3,56.09,No Cooking
400,135,52,73,78,34.6,18.3,53.26,No Cooking
400,138,51,73,78,34.7,18.3,56.4,No Cooking
400,130,51,73,79,34.7,18.3,55.28,No Cooking
400,134,51,73,79,34.6,18.3,52.78,No Cooking
400,134,51,74,80,34.7,18.3,50.53,No Cooking
400,141,51,74,80,34.6,18.3,54.75,No Cooking
400,131,52,74,80,34.6,18.3,55.31,No Cooking
400,135,53,74,81,34.7,18.3,52.51,No Cooking
400,129,53,74,81,34.7,18.3,56.29,No Cooking
400,131,53,74,82,34.6,18.3,53.57,No Cooking
400,128,54,75,82,34.7,18.3,55.41,No Cooking
400,133,54,75,82,34.7,18.3,50.42,No Cooking
400,129,54,76,83,34.7,18.3,56.46,No Cooking
400,124,54,76,83,34.7,18.3,52.19,No Cooking
400,137,55,77,83,34.6,18.3,54.21,No Cooking
400,130,56,79,84,34.6,18.3,55.77,No Cooking
400,121,56,78,83,34.6,18.3,56.94,No Cooking
400,117,56,78,83,34.6,18.3,51.22,No Cooking
400,114,57,79,83,34.7,18.3,56.01,No Cooking
400,114,57,78,83,34.7,18.3,53.54,No Cooking
400,119,57,78,83,34.6,18.3,51.7,No Cooking
400,121,57,78,84,34.7,18.3,54.73,No Cooking
400,116,57,78,84,34.6,18.3,51.93,No Cooking
400,114,57,78,85,34.6,18.3,56.69,No Cooking
400,121,57,78,85,34.7,18.3,52.04,No Cooking
400,117,58,78,85,34.6,18.3,55.97,No Cooking
400,109,58,79,85,34.7,18.3,52.03,No Cooking
400,118,58,79,85,34.7,18.3,52.2,No Cooking
400,107,58,80,86,34.7,18.3,53.65,No Cooking
400,113,58,80,86,34.7,18.3,52.81,No Cooking
400,103,58,80,85,34.7,18.3,54.98,No Cooking
400,107,58,80,85,34.7,18.3,53.87,No Cooking
400,110,59,81,86,34.7,18.3,55.14,No Cooking
400,105,58,80,84,34.6,18.3,56.39,No Cooking
400,107,58,80,84,34.7,18.3,51.36,No Cooking
400,109,58,81,84,34.7,18.3,53.1,No Cooking
400,105,59,81,85,34.7,18.3,56.66,No Cooking
400,104,59,81,85,34.7,18.3,51.76,No Cooking
400,110,59,82,85,34.7,18.3,55.75,No Cooking
400,110,59,82,84,34.7,18.3,51.36,No Cooking
400,102,59,82,84,34.7,18.3,50.8,No Cooking
400,104,59,82,84,34.7,18.3,50.86,No Cooking
400,108,59,82,84,34.6,18.3,51.89,No Cooking
400,95,59,82,84,34.7,18.3,55.44,No Cooking
400,102,59,82,84,34.7,18.3,50.91,No Cooking
400,97,58,81,85,34.7,18.3,53.78,No Cooking
400,96,58,81,85,34.7,18.3,52.88,No Cooking
400,91,58,81,85,34.7,18.3,56.69,No Cooking
400,93,58,81,85,34.7,18.3,53.83,No Cooking
400,87,59,81,86,34.7,18.3,52.94,No Cooking
400,89,59,81,86,34.7,18.3,52.51,No Cooking
400,87,60,81,86,34.7,18.3,50.24,No Cooking
400,84,60,82,86,34.7,18.3,50.13,No Cooking
400,81,60,82,86,34.7,18.3,54.78,No Cooking
